Parcel_Index,Name,Original_Networks,New_Mapping_unpaired,New_Mapping
144,R_A39rv,Default,Default,Default
145,L_A40rv,SomMot,SomMot,SalVentAttn
146,R_A40rv,SomMot,SalVentAttn,SalVentAttn
147,L_A7m,Cont,Cont,Cont
148,R_A7m,Cont,Cont,Cont
149,L_A5m,SomMot,SalVentAttn,SalVentAttn
150,R_A5m,DorsAttn,DorsAttn,SalVentAttn
151,L_dmPOS,Vis,Default,Default
152,R_dmPOS,Vis,Default,Default
153,L_A31,Default,Default,Default
154,R_A31,Default,Default,Default
155,L_A1/2/3ulhf,SomMot,SomMot,SomMot
156,R_A1/2/3ulhf,SomMot,SomMot,SomMot
157,L_A1/2/3tonIa,SomMot,SomMot,SomMot
158,R_A1/2/3tonIa,SomMot,SomMot,SomMot
159,L_A2,DorsAttn,SomMot,Limbic
160,R_A2,SomMot,SomMot,Limbic
161,L_A1/2/3tru,SomMot,SomMot,SomMot
162,R_A1/2/3tru,SomMot,SomMot,SomMot
163,L_G,SomMot,SomMot,Vis
164,R_G,SomMot,SomMot,Vis
165,L_vIa,0,Default,Default
166,R_vIa,Cont,Cont,Default
167,L_dIa,SalVentAttn,SalVentAttn,SalVentAttn
168,R_dIa,SalVentAttn,SalVentAttn,SalVentAttn
169,L_vId/vIg,SalVentAttn,SalVentAttn,SalVentAttn
170,R_vId/vIg,SalVentAttn,SalVentAttn,SalVentAttn
171,L_dIg,SomMot,SomMot,SomMot
172,R_dIg,SomMot,SomMot,SomMot
173,L_dId,SalVentAttn,SalVentAttn,SalVentAttn
174,R_dId,SalVentAttn,SalVentAttn,SalVentAttn
175,L_A23d,Default,Default,Default
176,R_A23d,Default,Default,Default
177,L_A24rv,0,Cont,Cont
178,R_A24rv,0,Default,Cont
179,L_A32p,Default,Default,Default
180,R_A32p,SalVentAttn,Cont,Default
181,L_A23v,Default,Default,Default
182,R_A23v,Vis,Default,Default
183,L_A24cd,SalVentAttn,SalVentAttn,SalVentAttn
184,R_A24cd,SalVentAttn,SalVentAttn,SalVentAttn
185,L_A23c,SalVentAttn,SalVentAttn,SalVentAttn
186,R_A23c,SalVentAttn,SalVentAttn,SalVentAttn
187,L_A32sg,Default,Default,Default
188,R_A32sg,Default,Default,Default
189,L_cLinG,Vis,Vis,Vis
190,R_cLinG,Vis,Vis,Vis
191,L_rCunG,Vis,Vis,Vis
192,R_rCunG,Vis,Vis,Vis
193,L_cCunG,Vis,Vis,Vis
194,R_cCunG,Vis,Vis,Vis
195,L_rLinG,Vis,Vis,Vis
196,R_rLinG,Vis,Vis,Vis
197,L_vmPOS,Vis,Vis,Vis
198,R_vmPOS,Vis,Vis,Vis
199,L_mOccG,Vis,Vis,Vis
200,R_mOccG,Vis,Vis,Vis
201,L_V5/MT+,DorsAttn,DorsAttn,Vis
202,R_V5/MT+,Vis,Vis,Vis
203,L_OPC,Vis,Vis,Vis
204,R_OPC,Vis,Vis,Vis
205,L_iOccG,Vis,Vis,Vis
206,R_iOccG,Vis,Vis,Vis
207,L_msOccG,Vis,Vis,Vis
208,R_msOccG,Vis,Vis,Vis
209,L_lsOccG,Vis,Vis,Vis
210,R_lsOccG,Vis,Vis,Vis
